libra-oa:1748 doi:10.18130/V3S77H
libra-oa:1752 doi:10.18130/V3NF5K
libra-oa:1754 doi:10.18130/V3HR29
libra-oa:1762 doi:10.18130/V3CX82
libra-oa:1770 doi:10.18130/V38787
libra-oa:1790 doi:10.18130/V34F4J
libra-oa:1798 doi:10.18130/V30R31
libra-oa:1822 doi:10.18130/V3VX9S
libra-oa:1828 doi:10.18130/V3R78K
libra-oa:1842 doi:10.18130/V3MF58
libra-oa:1052 doi:10.18130/V3GR3C
libra-oa:1866 doi:10.18130/V3BZ02
libra-oa:1876 doi:10.18130/V3778X
libra-oa:1056 doi:10.18130/V33J3W
libra-oa:1930 doi:10.18130/V3ZR2B
libra-oa:1986 doi:10.18130/V3V19T
libra-oa:1988 doi:10.18130/V3Q77W
libra-oa:1990 doi:10.18130/V3KJ4M
libra-oa:1992 doi:10.18130/V3FR0X
libra-oa:1068 doi:10.18130/V3B203
libra-oa:1788 doi:10.18130/V3676V
libra-oa:1166 doi:10.18130/V32J5B
libra-oa:1476 doi:10.18130/V3XR1N
libra-oa:1630 doi:10.18130/V3T20F
libra-oa:1750 doi:10.18130/V3P77K
libra-oa:1824 doi:10.18130/V3JJ5P
libra-oa:1996 doi:10.18130/V3DR2C
libra-oa:1998 doi:10.18130/V3920S
libra-oa:2000 doi:10.18130/V35B56
libra-oa:2002 doi:10.18130/V31J38
libra-oa:2004 doi:10.18130/V3WV1C
libra-oa:2006 doi:10.18130/V3S196
libra-oa:2008 doi:10.18130/V3NB6X
libra-oa:2010 doi:10.18130/V3HJ3M
libra-oa:2012 doi:10.18130/V3CV23
libra-oa:2014 doi:10.18130/V38185
libra-oa:2016 doi:10.18130/V34B7N
libra-oa:2018 doi:10.18130/V30J3Z
libra-oa:2020 doi:10.18130/V3VV2F
